模块,子模块,功能点,功能描述,API端点,HTTP方法,API状态,前端界面,优先级,备注
基础资料,仓库管理,仓库列表,获取仓库分页列表,/api/repo/page/{index},GET,已实现,已开发,P1,views/company/repo/index.vue
基础资料,仓库管理,新增仓库,创建新的仓库,/api/repo,POST,已实现,已开发,P1,views/company/repo/form.vue
基础资料,仓库管理,编辑仓库,更新仓库信息,/api/repo/{uid},PATCH,已实现,已开发,P1,views/company/repo/form.vue
基础资料,仓库管理,删除仓库,删除指定仓库,/api/repo/{uid},DELETE,已实现,已开发,P2,
基础资料,仓库管理,启用仓库,启用指定仓库,/api/repo/start/{uid},PATCH,已实现,待开发,P2,
基础资料,仓库管理,停用仓库,停用指定仓库,/api/repo/stop/{uid},PATCH,已实现,待开发,P2,
基础资料,仓库管理,设置默认仓库,设置主仓库,/api/repo/{uid},PATCH,已实现,待开发,P2,需传isPrimary字段
基础资料,商品管理,商品列表,获取商品分页列表,/api/tire/page/{index},GET,已实现,已开发,P1,views/business/tire/index.vue
基础资料,商品管理,新增商品,创建新的商品,/api/tire,POST,已实现,已开发,P1,views/business/tire/form.vue
基础资料,商品管理,编辑商品,更新商品信息,/api/tire/{uid},PATCH,已实现,已开发,P1,views/business/tire/form.vue
基础资料,商品管理,删除商品,删除指定商品,/api/tire/{uid},DELETE,已实现,已开发,P2,
基础资料,商品管理,商品封面管理,添加商品封面图,/api/tire/cover/{tireId}/{staticId},PATCH,已实现,待开发,P2,
基础资料,商品管理,删除商品封面,删除商品封面图,/api/tire/cover/{tireId}/{id},DELETE,已实现,待开发,P3,
基础资料,商品管理,商品分组查询,按分组查询商品,/api/tire/group/{group},GET,已实现,待开发,P2,
基础资料,商品管理,条码查询商品,通过条码查询商品,/api/tire/barcode/{code},GET,已实现,待开发,P1,
基础资料,商品管理,商品批量导入,批量导入商品资料,/api/tools/import/{type},POST,已实现,待开发,P1,type=tire
基础资料,商品管理,商品导出,导出商品资料,/api/tools/export/{type},GET,已实现,待开发,P2,type=tire
基础资料,商品管理,期初库存录入,录入商品期初库存,/api/tools/import/{type},POST,已实现,待开发,P1,type=stock-init
基础资料,客户管理,客户列表,获取客户分页列表,/api/customer/page/{index},GET,已实现,已开发,P1,views/business/customer/index.vue
