file_path,dialog_line,dialog_purpose,migration_type,priority,complexity,status,notes
src/views/fund/payment/form.vue,210,选择源单据弹窗,keep_current,低,中,保持现状,独立表单组件使用v-model可保持现状
src/views/fund/transfer/form.vue,164,选择源单据弹窗,keep_current,低,中,保持现状,独立表单组件使用v-model可保持现状
src/views/fund/writeOff/form.vue,208,选择源单据弹窗,keep_current,低,中,保持现状,独立表单组件使用v-model可保持现状
src/views/fund/receipt/form.vue,99,选择源单据弹窗,keep_current,低,中,保持现状,独立表单组件使用v-model可保持现状
src/views/fund/otherIncome/form.vue,174,选择源单据弹窗,keep_current,低,中,保持现状,独立表单组件使用v-model可保持现状
src/views/fund/otherExpense/form.vue,168,选择源单据弹窗,keep_current,低,中,保持现状,独立表单组件使用v-model可保持现状
src/views/company/department/index.vue,219,部门编辑弹窗,convert_to_addDialog,中,低,已完成,迁移到RolesForm.vue
src/views/system/workflow/index.vue,310,工作流配置弹窗,convert_to_addDialog,中,高,已完成,迁移到WorkflowForm.vue
src/views/system/documentNumber/index.vue,294,单据编号规则弹窗,convert_to_addDialog,中,中,已完成,迁移到DocumentNumberRuleForm.vue
src/views/system/documentNumber/index.vue,411,编号预览弹窗,convert_to_addDialog,低,低,已完成,合并到DocumentNumberRuleForm.vue
src/views/inventory/stocktaking/index.vue,362,盘点详情/录入弹窗,convert_to_addDialog,中,中,已完成,迁移到StocktakingDetailForm.vue
src/views/auth/profile.vue,112,微信绑定弹窗,convert_to_addDialog,低,低,已完成,迁移到WxBindForm.vue
src/views/auth/profile.vue,139,编辑个人信息弹窗,convert_to_addDialog,低,低,已完成,迁移到ProfileEditForm.vue
src/views/business/customer/levelDialog.vue,144,客户等级列表弹窗,keep_current,低,中,保持现状,独立组件使用v-model可保持现状
src/views/business/customer/levelDialog.vue,176,等级编辑子弹窗,convert_to_addDialog,低,低,已完成,迁移到LevelEditForm.vue
src/views/business/customer/followUpDialog.vue,148,添加跟进记录弹窗,convert_to_addDialog,低,低,已完成,迁移到FollowUpAddForm.vue
src/views/business/customer/tagDialog.vue,139,客户标签列表弹窗,keep_current,低,中,保持现状,独立组件使用v-model可保持现状
src/views/business/customer/tagDialog.vue,176,标签编辑子弹窗,convert_to_addDialog,低,低,已完成,迁移到TagEditForm.vue
src/views/business/stock/serialNumber/index.vue,362,序列号详情弹窗,convert_to_addDialog,中,中,已完成,迁移到SerialNumberLogsForm.vue
src/views/business/stock/serialNumber/index.vue,447,序列号编辑弹窗,convert_to_addDialog,中,中,已完成,迁移到SerialNumberAddForm.vue
src/views/business/tire/form.vue,465,产品选择弹窗,convert_to_addDialog,中,中,已完成,迁移到UnitConversionForm.vue
src/views/business/finance/writeOff/index.vue,360,核销操作弹窗,convert_to_addDialog,中,中,已完成,迁移到WriteOffForm.vue
src/views/business/finance/income/index.vue,260,新增收入单弹窗,convert_to_addDialog,中,低,已完成,迁移到IncomeForm.vue
src/views/business/batch/index.vue,318,新增批次弹窗,convert_to_addDialog,低,低,已完成,迁移到BatchCreateForm.vue
src/views/business/payment/accountOperationDialog.vue,130,账户操作弹窗,keep_current,中,中,保持现状,独立组件使用v-model可保持现状
src/views/business/stockTaking/components/CreateTaskDialog.vue,19,创建盘点任务弹窗,keep_current,中,中,保持现状,独立组件使用v-model可保持现状
src/views/business/quality/defect/index.vue,198,质量缺陷弹窗,convert_to_addDialog,低,中,已完成,迁移到DefectCategoryForm.vue
src/views/business/logistic/DeliveryExceptionDialog.vue,169,配送异常弹窗,keep_current,低,中,保持现状,独立组件使用v-model可保持现状
src/views/business/logistic/LoadingTaskDialog.vue,102,装车任务弹窗,keep_current,低,中,保持现状,独立组件使用v-model可保持现状
src/views/business/logistic/TrackingNodeDialog.vue,84,物流节点弹窗,keep_current,低,中,保持现状,独立组件使用v-model可保持现状
src/views/business/logistic/ShippingWaveDialog.vue,122,发货波次弹窗,keep_current,低,中,保持现状,独立组件使用v-model可保持现状
src/views/business/logistic/ShippingPlanDialog.vue,110,发货计划弹窗,keep_current,低,中,保持现状,独立组件使用v-model可保持现状
src/views/settings/closing/index.vue,261,结账操作弹窗,convert_to_addDialog,高,中,已完成,迁移到ClosingCheckForm.vue
src/views/settings/dataAuth/components/ViewAuthDialog.vue,19,查看权限弹窗,keep_current,低,低,保持现状,独立组件使用v-model可保持现状
src/views/settings/dataAuth/components/SelectAuthDialog.vue,42,选择权限弹窗,keep_current,低,中,保持现状,独立组件使用v-model可保持现状
src/views/settings/dataAuth/components/EditAuthDialog.vue,158,编辑权限弹窗,keep_current,中,中,保持现状,独立组件使用v-model可保持现状
