文件路径,问题类型,优先级,问题描述,建议方案,工作量估算
views/system/log/index.vue,PERF,P2,日志查询可能涉及大量数据,确保后端有适当分页和索引,中
views/settings/closing/index.vue,MAINT,P2,parseListData函数在index.vue和ClosingCheckForm.vue重复定义,提取到共享utils文件,已处理
views/settings/printTemplate/index.vue,MAINT,P1,与advancedPrint/index.vue有70%代码重复,提取共享printTemplateBase composable或组件,大
views/settings/advancedPrint/index.vue,MAINT,P1,与printTemplate/index.vue有70%代码重复,合并重复逻辑到共享模块,大
views/settings/printTemplate/index.vue,MAINT,P2,documentTypes数组应提取到共享配置文件,创建shared/documentTypes.ts,小
views/settings/push/index.vue,MAINT,P1,437行大型组件包含3个推送渠道配置和测试功能,考虑拆分PushDeerTab/EmailTab/SmsTab子组件,中
views/settings/push/index.vue,MAINT,P2,loadConfig/handleSave模式与sysParams/funcParams/costParams/companyInfo重复(共5处),使用useSettingsForm composable统一处理,中
views/settings/push/index.vue,MAINT,P2,handleTestPushDeer/handleTestEmail/handleTestSms三个测试函数结构高度相似,提取usePushTest composable或泛型测试函数,小
views/settings/companyInfo/index.vue,MAINT,P2,loadSettings/handleSave模式与其他设置页面重复,使用useSettingsForm composable,中
views/settings/importFree/index.vue,MAINT,P2,handleRequestAuth使用ElMessageBox.prompt而非useConfirmDialog统一模式,考虑使用统一的对话框处理,小
views/settings/permissions/index.vue,MAINT,P3,permissionModules硬编码在组件内,考虑迁移到配置文件或从后端获取,中
