文件路径,问题类型,优先级,问题描述,建议方案,工作量估算
views/inventory/assembly/index.vue,MAINT,P1,356行使用ElMessage.success而非统一的message工具函数,替换为import { message } from '@/utils',小
views/inventory/assembly/index.vue,REUSE,P2,openDialog函数封装良好可作为弹框操作参考,提取为通用useFormDialog增强版,中
views/inventory/disassembly/index.vue,MAINT,P1,使用ElMessage.success需统一,替换为message工具函数,小
views/inventory/bom/index.vue,MAINT,P1,使用ElMessage.success需统一,替换为message工具函数,小
views/inventory/bom/index.vue,REUSE,P1,使用useCrud模式良好,参考
views/inventory/costAdjust/index.vue,MAINT,P1,使用ElMessage.success需统一,替换为message工具函数,小
views/inventory/costRecalc/index.vue,MAINT,P1,使用ElMessage.success需统一,替换为message工具函数,小
views/inventory/documents/index.vue,MAINT,P1,使用ElMessage.success需统一,替换为message工具函数,小
views/inventory/otherInbound/index.vue,MAINT,P1,使用ElMessage.success需统一,替换为message工具函数,小
views/inventory/otherOutbound/index.vue,MAINT,P1,使用ElMessage.success需统一,替换为message工具函数,小
views/inventory/stocktaking/index.vue,MAINT,P1,使用ElMessage.success需统一,替换为message工具函数,小
views/inventory/stocktaking/StocktakingDetailForm.vue,MAINT,P1,使用ElMessage.success需统一,替换为message工具函数,小
views/inventory/transfer/index.vue,MAINT,P3,调拨单与其他单据结构类似,确保使用一致的组件模式,参考
views/inventory/report/index.vue,PERF,P2,库存报表可能涉及大量数据,考虑后端分页或虚拟滚动,中
