文件路径,问题类型,优先级,问题描述,建议方案,工作量估算,状态
全局,MAINT,P2,pageSize硬编码为10/15/20三种值(89处),创建常量DEFAULT_PAGE_SIZE并统一使用,小,待定-建议独立PR
全局,MAINT,P1,125+处空catch{}块静默吞掉错误,添加handleApiError或日志打印到空catch块,中,待定-建议独立PR
全局,MAINT,P2,41处'.length === 0'检查可优化,考虑使用!array.length或isEmpty工具函数,小,待定-建议独立PR
全局,A11Y,P2,仅2处使用aria-属性无障碍支持不足,关键交互元素添加aria-label和role属性,中,待定-建议独立PR
全局,MAINT,P3,138+处表单规则部分内联部分独立定义,统一表单验证规则定义方式提取到rules文件,中,待定-建议独立PR
settings/backup/index.vue,TYPE,P2,2处'as any'类型断言,优化类型定义避免any,小,已修复-使用UploadAjaxError类型
data/importExport/index.vue,SEC,P2,直接操作localStorage,考虑使用store统一管理,小,跳过-本地任务历史无安全风险
data/priceInfo/index.vue,SEC,P2,直接操作localStorage,考虑使用store统一管理,小,跳过-后端不支持这些字段需本地存储
business/stockTaking/index.vue,SEC,P2,直接操作sessionStorage,考虑使用store统一管理,小,跳过-页面间临时数据传递用途合理
settings/push/index.vue,MAINT,P3,硬编码外部URL https://www.pushdeer.com,移至配置文件,小,已修复-externalLinks.ts已有配置
tools/verify/index.vue,MAINT,P3,硬编码外部URL作为默认值,移至配置文件,小,已修复-使用DEFAULT_QR_CONTENT常量
company/asset/form.vue,MAINT,P3,表单规则内联定义不统一,提取到独立rules对象,小,待定-建议独立PR
data/auxiliary/form.vue,MAINT,P3,表单规则内联定义不统一,提取到独立rules对象,小,待定-建议独立PR
