文件路径,现有代码模式,建议替换组件,替换说明,优先级,状态
src/views/business/audit/index.vue,(totalAmount / 100).toFixed(2),MoneyDisplay,金额格式化可复用 MoneyDisplay 组件,高,跳过-当前模式更灵活
src/views/fund/otherIncome/index.vue,(amount / 100).toFixed(2),MoneyDisplay,金额格式化可复用 MoneyDisplay 组件,高,跳过-需要+前缀和颜色
src/views/fund/otherExpense/index.vue,(amount / 100).toFixed(2),MoneyDisplay,金额格式化可复用 MoneyDisplay 组件,高,跳过-需要-前缀和颜色
src/views/fund/report/index.vue,(amount / 100).toFixed(2),MoneyDisplay,金额格式化可复用 MoneyDisplay 组件,高,跳过-需要+/-前缀和颜色
src/views/business/finance/writeOff/index.vue,(amount / 100).toFixed(2),MoneyDisplay,金额格式化可复用 MoneyDisplay 组件,高,跳过-当前模式更灵活
src/views/business/finance/transfer/index.vue,(balance / 100).toFixed(2),MoneyDisplay,金额格式化可复用 MoneyDisplay 组件,高,跳过-当前模式更灵活
src/views/data/supplierBalance/index.vue,row.payableBalance.toFixed(2),MoneyDisplay,金额格式化可复用 MoneyDisplay 组件,高,跳过-当前模式更灵活
src/views/data/customerBalance/index.vue,row.receivableBalance.toFixed(2),MoneyDisplay,金额格式化可复用 MoneyDisplay 组件,高,跳过-当前模式更灵活
src/views/data/account/index.vue,num.toFixed(2),MoneyDisplay,金额格式化可复用 MoneyDisplay 组件,高,跳过-当前模式更灵活
src/views/other/aiEntry/index.vue,totalAmount.toFixed(2),MoneyDisplay,金额格式化可复用 MoneyDisplay 组件,中,跳过-当前模式更灵活
src/views/analysis/comprehensive/index.vue,(value / 100).toFixed(2),MoneyDisplay,金额格式化可复用 MoneyDisplay 组件,高,跳过-图表上下文
src/views/analysis/sales/index.vue,Number(val) / 100,MoneyDisplay,金额格式化可复用 MoneyDisplay 组件,高,跳过-图表上下文
src/views/analysis/aging/index.vue,Number(val) / 100,MoneyDisplay,金额格式化可复用 MoneyDisplay 组件,高,跳过-图表上下文
src/views/analysis/inventory/index.vue,Number(val) / 100,MoneyDisplay,金额格式化可复用 MoneyDisplay 组件,高,跳过-图表上下文
src/views/analysis/finance/index.vue,Number(val) / 100,MoneyDisplay,金额格式化可复用 MoneyDisplay 组件,高,跳过-图表上下文
src/views/analysis/purchase/index.vue,Number(val) / 100,MoneyDisplay,金额格式化可复用 MoneyDisplay 组件,高,跳过-图表上下文
src/views/analysis/profit/index.vue,Number(val) / 100,MoneyDisplay,金额格式化可复用 MoneyDisplay 组件,高,跳过-图表上下文
src/views/business/audit/index.vue,h(ElTag) + statusMap,StatusTag,状态标签可复用 StatusTag 组件,中,已完成
src/views/fund/otherIncome/index.vue,el-tag type=success/warning,StatusTag,状态标签可复用 StatusTag 组件,中,已完成
src/views/fund/writeOff/index.vue,el-tag :type=row.isApproved,StatusTag,状态标签可复用 StatusTag 组件,中,已完成
src/views/business/finance/writeOff/index.vue,el-tag :type=row.isApproved,StatusTag,状态标签可复用 StatusTag 组件,中,已完成
src/views/business/finance/income/index.vue,el-tag type=success,StatusTag,状态标签可复用 StatusTag 组件,低,跳过
src/views/settings/codeRule/index.vue,el-tag type={row.isActive},StatusTag,状态标签可复用 StatusTag 组件,中,已完成
src/views/settings/advancedPrint/index.vue,el-tag type={row.isDefault},StatusTag,状态标签可复用 StatusTag 组件,中,已完成
src/views/settings/printTemplate/index.vue,el-tag type={row.isDefault},StatusTag,状态标签可复用 StatusTag 组件,中,已完成
src/views/purchase/order/index.vue,查看/修改/删除 按钮组合,TableOperations,表格操作按钮组合可复用 TableOperations 组件,高,已完成
src/views/purchase/inbound/index.vue,查看/修改/删除 按钮组合,TableOperations,表格操作按钮组合可复用 TableOperations 组件,高,已完成
src/views/purchase/return/index.vue,查看/修改/删除 按钮组合,TableOperations,表格操作按钮组合可复用 TableOperations 组件,高,已完成
src/views/sales/order/index.vue,查看/修改/删除 按钮组合,TableOperations,表格操作按钮组合可复用 TableOperations 组件,高,已完成
src/views/sales/outbound/index.vue,查看/修改/删除 按钮组合,TableOperations,表格操作按钮组合可复用 TableOperations 组件,高,已完成
src/views/sales/return/index.vue,查看/修改/删除 按钮组合,TableOperations,表格操作按钮组合可复用 TableOperations 组件,高,已完成
