模块,文件路径,行号,审计维度,问题类型,优先级,置信度,问题描述,代码证据,影响,建议方案,可复用抽象,工作量估算,是否需后端配合,状态,来源批次
资金表单,src/views/fund/otherIncome/form.vue; src/views/fund/otherExpense/form.vue; src/views/fund/payment/form.vue; src/views/fund/transfer/form.vue; src/views/fund/writeOff/form.vue,150;150;142;142;169,LOGIC,提交成功但实际未调用任何保存 API,P0,高,五个资金表单都会构造 submitData、弹出‘创建/更新成功’，随后关闭弹窗并刷新列表，但代码里没有真正调用 create/update API；而对应 API 已在 src/api/fund/*.ts 中存在,form.vue 中只有 const submitData = {...}; message(...成功); emit('success')；对应 createOtherIncomeApi/createOtherExpenseApi/createPaymentOrderApi/createTransferApi/createWriteOffApi 已存在,用户会看到成功提示但数据根本没落库，属于核心业务假成功，极易造成财务数据丢失和误操作,逐表单接入对应 create/update API，并用返回结果决定提示与刷新；补充失败态和回填逻辑,useFundSubmit / useFundDialogSubmit,大,否,已实施待验证,2026-03-06_14-30-06-project-audit-second-pass.csv
路由初始化,src/router/utils/cache.ts,36,LOGIC,initRouter 在接口失败时可能永远挂起,P0,高,new Promise(resolve => ...) 中只有 then 没有 reject/catch；getAsyncRoutes 失败时导航既不 resolve 也不 reject,return new Promise(resolve => { getAsyncRoutes().then(...) }),首次进站或刷新时一旦路由接口失败，导航守卫可能卡死白屏,直接返回 async 链或补 reject/catch，确保失败能回退登录页,,小,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
HTTP,src/utils/http/index.ts,117,LOGIC,刷新队列逻辑存在并行双实现,P1,高,http/index.ts 内嵌了完整 refresh/cookie-auth 队列，同时 src/utils/http/interceptors 下又维护一套拦截器实现,src/utils/http/index.ts + src/utils/http/interceptors/auth.ts + cookie-auth.ts,后续修复易发生只改一套导致行为分裂,收敛为单一拦截器实现并删除旁路逻辑,统一 HTTP interceptor stack,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
HTTP,src/utils/http/index.ts,146,TYPE,ts-expect-error 掩盖核心请求配置不匹配,P1,高,请求拦截器依赖 @ts-expect-error 才能通过编译，PureHttpRequestConfig 与 Axios 内部配置已漂移,// @ts-expect-error PureHttpRequestConfig extends InternalAxiosRequestConfig...,HTTP 热路径失去类型保护，Axios 升级后更易引入静默回归,对齐拦截器入参类型，移除压制注释,统一 InternalAxiosRequestConfig 适配层,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
OAuth,src/views/login/composables/useLoginForm.ts,106,AUTH,GitHub OAuth postMessage 未校验来源,P1,高,popup 回调需校验同源 origin 且 source 必须为 popup 并对消息 payload 做严格解析,useLoginForm.ts handleMessage 校验 event.origin 与 event.source 且 parseGithubLoginMessage 仅接受 accessToken 或 error 字符串,任意能向窗口 postMessage 的页面都可能伪造 OAuth 成功消息,校验消息来源域名与 popup 引用，再接受登录结果,,中,是,已实施待验证,2026-03-06_14-22-37-project-audit.csv
业务订单,src/views/business/order/form.vue,124,TYPE,明细字段反复 unknown 强转,P1,高,表单校验与 onAdd 依赖 unknown -> details 数组断言，编译器无法保证 details 存在且元素合法,newFormInline.value as unknown as { details?: unknown[] },明细缺失或结构异常时只能靠运行期兜底，难以及早发现回归,给 newFormInline 定义稳定表单模型并显式声明 details 字段,,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
付款单,src/views/fund/payment/form.vue,68;109;142;351,LOGIC,付款单明细编辑混用了“元/分”两套金额单位,P1,高,PaymentDetailItem 注释声明 payableAmount/writeOffAmount 以分为单位；编辑态直接把 props.editData.details 原样塞入 formData.details；模板里却用 el-input-number + precision=2 按元编辑；提交时只把 writeOffAmount *100，payableAmount 不转换,types.ts: payableAmount/writeOffAmount 注释为分；form.vue: details: props.editData.details || []; 输入框 v-model=row.payableAmount / row.writeOffAmount；提交时 details.map 仅转换 writeOffAmount,一旦资金表单接入真实提交，明细金额可能出现 100 倍错位；当前预付金额/核销合计显示也容易与输入语义不一致,统一付款单明细在表单层的金额单位：全部按元编辑并在提交前整体转分，或全部按分存储并禁用小数输入,,中,否,已实施待验证,2026-03-06_14-35-21-project-audit-third-pass.csv;2026-03-06_14-35-42-project-audit-third-pass.csv;2026-03-06_14-43-17-project-audit-fourth-pass.csv
公司状态,src/store/modules/company.ts,40,TYPE,接口返回结构被强制假定为数组,P1,高,handleCurrentCompany 直接把 res.data 断言为数组并读取 length / 索引,const data = res.data as Array<{ uid: string; name: string }>; if (data.length === 0),后端返回结构漂移时直接运行时崩溃,为 getCurrentCompanyApi 定义真实返回类型并增加 shape guard,,小,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
分页抽象,src/composables/usePageState.ts; src/composables/useOrderListPage.ts,180;176,LOGIC,抽象层维护 pageSize 但请求从未透传,P1,高,"usePageState.fetchData(api(page, queryParams)) 与 useOrderListPage.listApi(currentPage, searchForm) 都没有 pageSize 参数",pagination.pageSize 存在，但 API 调用不带 size,界面支持切页容量却无法真正影响数据结果，形成伪分页,把 pageSize 纳入抽象 API 合约，或移除无效容量控件,统一分页请求协议,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
动态路由,src/router/utils/dynamic.ts,150,LOGIC,动态路由同时写 router.options 与 router 实例,P1,高,每条动态路由既 push 到 router.options.routes[0].children，又调用 router.addRoute，并重新 add 根路由,router.options.routes[0]?.children?.push(v); ... router.addRoute(v);,路由状态出现双事实来源，调试和缓存行为更脆弱,选择单一注册源，并由该源派生菜单/缓存状态,,中,否,已实施待验证,2026-03-06_14-22-37-project-audit.csv
